Sup Dist,Cost Code,Library Name,City,Zip Code,Square Footage,Year Built,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Collection Size,Address and Location,ObjectId
3,109,Topanga,Topanga,90290,11048,2012,10-8,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,10-6,10-6,10-5,1-5,57353,"122 N. Topanga Canyon Blvd.
Topanga
(34.0903, -118.604)",47
3,335,West Hollywood,West Hollywood,90069,33150,2012,11-7,11/7/2022 12:00:00 AM,11/7/2022 12:00:00 AM,11-7,10-6,10-6,Closed,107162,"625 N. San Vicente Blvd.
West Hollywood
(34.0821, -118.383)",48
3,118,Westlake Village,Westlake Village,91361,11500,2001,Closed,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,10-6,10-6,10-5,1-5,52480,"31220 Oak Crest Dr.
Westlake Village
(34.1443, -118.799)",49
4,516,Alondra,Norwalk,90650,6000,1970,Closed,12/8/2022 12:00:00 AM,12/8/2022 12:00:00 AM,12-6,12-6,10-5,Closed,34645,"11949 E. Alondra Blvd.
Norwalk
(33.8877, -118.079)",50
4,509,Angelo M. Iacoboni,Lakewood,90712,25377,1972,10-8,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,10-8,10-6,10-5,1-5,130838,"4990 Clark Ave.
Lakewood
(33.8497, -118.133)",51
4,503,Artesia,Artesia,90701,5150,1968,Closed,12/8/2022 12:00:00 AM,12/8/2022 12:00:00 AM,10-6,9-5,9-5,Closed,43794,"18722 S. Clarkdale Ave.
Artesia
(33.8609, -118.08)",52
4,322,Avalon,Avalon,90704,1256,1961,Closed,11/7/2022 12:00:00 AM,11/7/2022 12:00:00 AM,11-7,9-5,9-5,Closed,15228,"215 Sumner Ave.
Avalon
(33.3425, -118.327)",53
4,505,Clifton M. Brakensiek,Bellflower,90706,20160,1975,11-8,11/8/2022 12:00:00 AM,11/8/2022 12:00:00 AM,11-6,1-5,11-5,Closed,94489,"9945 E. Flower St.
Bellflower
(33.8821, -118.122)",54
4,816,Diamond Bar,Diamond Bar,91765,18245,1977,11-9,11/9/2022 12:00:00 AM,11/9/2022 12:00:00 AM,11-9,10-5,10-5,Closed,79679,"21800 Copley Dr.
Diamond Bar
(34.0007, -117.83)",55
4,515,"George Nye, Jr.",Lakewood,90713,7100,1972,Closed,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,10-8,8-6,8-6,Closed,49297,"6600 Del Amo Blvd.
Lakewood
(33.8457, -118.103)",56
4,815,Hacienda Heights,Hacienda Heights,91745,10398,1972,9-9,9/9/2022 12:00:00 AM,9/9/2022 12:00:00 AM,9-9,9-6,9-5,1-5,62247,"16010 La Monde St.
Hacienda Heights
(33.9935, -117.964)",57
4,507,Hawaiian Gardens,Hawaiian Gardens,90716,5585,2008,Closed,12/8/2022 12:00:00 AM,12/8/2022 12:00:00 AM,10-6,9-5,9-5,Closed,44500,"11940 E. Carson St.
Hawaiian Gardens
(33.8314, -118.078)",58
4,314,Hermosa Beach,Hermosa Beach,90254,6496,1962,Closed,11/7/2022 12:00:00 AM,12/7/2022 12:00:00 AM,12-7,12-6,10-5,Closed,47815,"550 Pier Ave.
Hermosa Beach
(33.8642, -118.396)",59
4,508,La Mirada,La Mirada,90638,15704,1969,Closed,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,10-8,12-5,12-5,Closed,75018,"13800 La Mirada Blvd.
La Mirada
(33.9053, -118.012)",60
