X,Y,OBJECTID,Business_Category,Business_Name,Address,City,Zip
-13123272.6716072,4027033.07264683,1407,Food Establishment,RH GOOD DEAL OUTLET INC,1724 S Nogales Street,Rowland Heights,91748
-13124737.5263352,4027261.89849168,1408,Food Establishment,Rising Pot,18495 Colima Road,Rowland Heights,91748
-13164220.7940995,4026747.1361247,1409,Food Establishment,Rodriguez Market,6014 S Central Avenue,Los Angeles,90001
-13155940.5314395,4031990.17151488,1410,Food Establishment,Rodriguez Mini Mart,4122 Whittier Boulevard,Los Angeles,90023
-13124771.7754614,4027362.70456658,1411,Food Establishment,Rolling wok,18483 Colima Road,Rowland Heights,91748
-13143782.4562229,4046149.72463787,1412,Food Establishment,Rosemead smoke shop,7250 Rosemead Boulevard,San Gabriel,91775
-13143037.3062013,4024898.69159608,1413,Food Establishment,Roummany Corp,11517 Washington Boulevard,Whittier,90606
-13201711.4611916,4042761.64540161,1414,Food Establishment,"Rowboat Fish Market Restaurant,Inc",1101 N Topanga Canyon Boulevard,Topanga,90290
-13131253.832156,4030128.9248652,1415,Food Establishment,ROYAL MEAT MARKET INC,15916 GALE Avenue,Hacienda Heights,91745
-13168857.5417881,4003685.26242339,1416,Food Establishment,Royce OIl Inc,1250 W Sepulveda Boulevard,Harbor City,90710
-13161347.8227631,4024730.33004422,1417,Food Establishment,"Rubalcaba, Ruben",7681 S Santa Fe Avenue,Huntington Park,90255
-13170072.2923003,4020568.95270836,1418,Food Establishment,S&J Deli House and Coffee,10714 S Western Avenue,Los Angeles,90047
-13196766.8000151,4084801.25147424,1419,Food Establishment,S&M Foods LLC,23630 Valencia Boulevard,Valencia,91355
-13138977.2501415,4018403.34396636,1420,Food Establishment,S.H.A.H VENTURES INC,11807 Valley View Avenue,Whittier,90604
,,1421,Food Establishment,SAAAN INC,15300 B S Figueroa Street,Gardena,90248
-13157896.6712674,4095272.66299121,1422,Food Establishment,"Saci, Michael",3807 Sierra Highway,Acton,93510
,,1423,Food Establishment,SADDLEBACK MARKET             ,17051  E AVENUE O      ,Palmdale,93591
-13138103.1196404,4018711.07245206,1424,Food Establishment,Saint Ava Fini Inc.,14547 Leffingwell Road,Whittier,90604
-13156108.4596558,4031365.24684149,1425,Food Establishment,Sal Produce Market,4211 E Olympic Boulevard,Los Angeles,90023
-13163560.6633103,4025387.48933505,1426,Food Establishment,SALUD + VIDA,1350 E Florence Avenue,Los Angeles,90001
-13138952.7094589,4020993.38927426,1427,Food Establishment,Samy's Liquor inc.,10074 Mills Avenue,Whittier,90604
-13188560.8412814,4084785.65444128,1428,Food Establishment,SAN FERNANDO COFFEE COMPANY SANTA CLARITA,19439 Soledad Canyon Road,Canyon Country,91351
-13182920.8742445,4086318.96877894,1429,Food Establishment,"Santa Clarita Beverage, Inc.",16507 Soledad Canyon Road,Canyon Country,91387
-13162206.3124211,4025453.23653178,1430,Food Establishment,SANTA MARIA OIL GROUP INC,1935 E Florence Avenue,Los Angeles,90001
-13156727.7823963,4035866.67060028,1431,Food Establishment,"Sara's Market, INC",3455 City Terrace Drive,Los Angeles,90063
-13156981.9498318,4035380.13005772,1432,Food Establishment,Sarbsukh Enterprise Inc.,3241 City Terrace Drive,Los Angeles,90063
-13134407.4277201,4031289.8847183,1433,Food Establishment,"SAS 3 Rest., Ventures, LLC",1150 S 7th Avenue,Hacienda Heights,91745
-13143899.4537161,4047994.92519807,1434,Food Establishment,Saucy Chick,203 S Rosemead Boulevard,Pasadena,91107
-13195898.8698001,4084259.95093993,1435,Food Establishment,Saugus Superette,25865 Railroad Avenue,Santa Clarita,91350
-13141818.88421,4017713.40536444,1436,Food Establishment,Savleen Randhawa Inc,13019 Imperial Highway,Whittier,90605
-13167734.933955,3992182.14064808,1437,Food Establishment,Savoria Melange Bistro,1902 S Pacific Avenue,San Pedro,90731
-13175777.5079476,4053776.15007387,1438,Food Establishment,Saysay's Cookies LLC,6329 N Clybourn Avenue,North Hollywood,91606
-13173347.5175609,4027296.10510867,1439,Food Establishment,SC & SC INC,3708 W Slauson Avenue,Los Angeles,90043
-13195945.4166624,4085519.84818893,1440,Food Establishment,"SCV GELATI, LLC",26240 Bouquet Canyon Road,Santa Clarita,91350
-13165197.7223044,4016699.84768177,1441,Food Establishment,SE market inc,13416 Avalon Boulevard,Los Angeles,90061
-13177729.2464577,4038994.46681143,1442,Food Establishment,"See's Candies, Inc",8500 W Beverly Boulevard,Los Angeles,90048
-13188461.2147456,4084639.67472826,1443,Food Establishment,"See's Candy Shops, Incorporated",19372 Soledad Canyon Road,Canyon Country,91351
-13198046.5495101,4085424.27130644,1444,Food Establishment,"See's Candy Shops, Incorporated",24325 Magic Mountain Parkway,Valencia,91355
-13184410.0657512,4025907.25412245,1445,Food Establishment,"See's Candy Shops, Incorporated",4734 Admiralty Way,Marina Del Rey,90292
