X,Y,OBJECTID,U_ID,Name,POI_type,open_,closed,Descrip,parking,restrooms,picnicking,information,wi_fi,litter_receptacle,pet_access,bench,overlook,agency,drinking_water,sup_dist,created_by,created_date,edited_by,edited_date,poi_phase,wheelchair_accessible,trail_name
6347758.64894092,1869189.45304431,5667,854,Las Virgenes Trailhead,Trailhead,yes,no,,yes,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Las Virgenes Trail
6346380.22978148,1861059.47953403,5668,855,Las Virgenes View Trailhead at Mulholland Hwy,Trailhead,yes,no,,yes,no,no,no,,no,,no,no,NPS,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Las Virgenes View Trail
6397765.53030849,1845517.1255881,5669,856,Leacock Memorial Trailhead at Shadow Mountain Dr,Trailhead,yes,no,,no,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Leacock Memorial Trail
6278544.42599414,1839867.44499558,5670,857,Leo Carrillo State Park Trailhead at Beach Access Rd,Trailhead,yes,no,,yes,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Leo Carrillo Bluff Trail
6277655.13471992,1839831.20397839,5671,858,Leo Carrillo State Park Trailhead at Beach Access Rd,Trailhead,yes,no,,yes,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Leo Carrillo Bluff Trail
6279015.59664664,1840738.82038303,5672,859,Leo Carrillo State Park Trailhead at Beach Access Rd,Trailhead,yes,no,,yes,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Nicholas Flat Trail
6342562.75998058,1869649.00431584,5673,860,Liberty Canyon Fire Road Trailhead,Trailhead,yes,no,,no,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Liberty Canyon Fire Road
6277874.90047649,1839892.98011616,5674,861,Leo Carrillo State Park Trailhead at Beach Access Rd,Trailhead,yes,no,,yes,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Lifeguard Tower Access Road A
6278134.1667796,1839932.08584512,5675,862,Leo Carrillo State Park Trailhead at Beach Access Rd,Trailhead,yes,no,,yes,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Lifeguard Tower Access Road B
6383371.96643151,1856742.02384647,5676,863,Topanga State Park Trailhead at Entrada Rd,Trailhead,yes,no,,yes,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Lofgren Trail
6332190.82851362,1859738.77559609,5677,864,Lookout Road Trailhead at Lookout Dr,Trailhead,yes,no,,no,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Lookout Road
